Bókstafir,Hljóð,Hljóð dæmi, Fremst í orð, Dæmi fremst í orðnum,Inni í orð, Dæmi inni í orð
g,[k],gaman,"g er ekki undan j eða frammælt ókringt sérhljóð: j, i, í, y, ý, e, ei, ey, æ","gaman, gulur, grænn, glas","g kemur eftir samhljóðar eða undan l,n","tólg, ganga, borga, sigla, rigna"
g,[c],gefa,"g er undan j eða frammælt ókringt sérhljóði: j, i, í, y, ý, e, ei, ey, æ","gjöf, gítar, giska, gefa, geyma","g kemur eftir l,n,r og undan j,i,í,ei,ey,æ","bylgja, helgi, fangelsi"
g,[ɣ],saga,,,"g kemur eftir sérhljóða og undan a,u,ð,r","saga, dagur, sagði, sigra, lög"
g,[x],sagt,,,"g kemur undan t,s","sagt, hugsa"
g,[j],skóginn,,,"g kemur eftir sérhljóða og undan i,j","segja, segi"
g,[ ],fljúga,,,"g kemur eftir á,ó,ú og undan a,u","mágur, lóga, fljúga"
k,[ch],kista,"k kemur undan j og ókringt frammælt sérhljóða: j, i, í, y, ý, e, ei, ey, æ","kjóll, kína, kemur, kæra",,
k,[kh],kasta,"k kemur ekki undan j eða ókringt frammælt sérhljóða: j, i, í, y, ý, e, ei, ey, æ","koma, kanna, kría, klár",,
k,[c],poki,,,"k kemur undan i,j","Reykjavík, poki, Loki, banki"
k,[k],taka,,,,"aka, Akureyri, skápur, loka"
k,[x],rakt,,,"k kemur undan t,s","rakt, slöggt, rækta, rekstur, buxur"
p, [ph],penni,,,,
p,[p],tapa,,,,
p,[f],skipta,,,p kemur undan t,"skipta, Egyptaland, september, keypti, keppti, sleppti"
f,[f],fá,,,,
f,[v],lifa,,,,
f,[p],sofna,,,"f kemur undan l,n",hafna
f,[m],hefnd,,,,
f,[m̥],nefnt,,,,
