Bókstafur,Hljóð,Dæmi,Myndunarstaðir,Myndunarhættir,Rödd
g,[k],gaman,Uppgómmælt,Lokhljóð,Ófráblásið
g,[c],gefa,Framgómmælt,Lokhljóð,Ófráblásið
g,[ɣ],saga,Uppgómmælt,Önghljóð,Rödduð
g,[x],sagt,Uppgómmælt,Önghljóð,Órödduð
g,[j],skóginn,Framgómmælt,Önghljóð,Rödduð
g,[ ],fljúga,,,
s,[s],sjö,Tannbergsmælt,Önghljóð,Órödduð
p, [ph],penni,Varamælt,Lokhljóð,Fráblásið
p,[p],tapa,Varamælt,Lokhljóð,Ófráblásið
p,[f],skipta,Tannvaramælt,Önghljóð,Órödduð
t,[th],taska,Tannbergsmælt,Lokhljóð,Fráblásið
p,[t],láta,Tannbergsmælt,Lokhljóð,Ófráblásið
k,[ch],kista,Framgómmælt,Lokhljóð,Fráblásið
k,[kh],kasta,Uppgómmælt,Lokhljóð,Fráblásið
k,[c],poki,Framgómmælt,Lokhljóð,Ófráblásið
k,[k],taka,Uppgómmælt,Lokhljóð,Ófráblásið
k,[x],rakt,Uppgómmælt,Önghljóð,Órödduð
b,[p],bær,Varamælt,Lokhljóð,Ófráblásið
d,[t],dalur,Tannbergsmælt,Lokhljóð,Ófráblásið
v,[v],vasi,Tannvaramælt,Önghljóð,Rödduð
f,[f],fá,Tannvaramælt,Önghljóð,Órödduð
f,[v],lifa,Tannvaramælt,Önghljóð,Rödduð
f,[p],sofna,Varamælt,Lokhljóð,Ófráblásið
f,[m],hefnd,Varamælt,Nefhljóð,Rödduð
f,[m̥],nefnt,Varamælt,Nefhljóð,Órödduð
ð,[ð],úða,Tannmælt,Önghljóð,Rödduð
ð,[θ],iðka,Tannmælt,Önghljóð,Órödduð
þ,[θ],þurfa,Tannmælt,Önghljóð,Órödduð
j,[j],já,Framgómmælt,Önghljóð,Rödduð
j,[ç],hjón,Framgómmælt,Önghljóð,Órödduð
h,[h],hundur,Raddbandamælt,Önghljóð,Órödduð
h,[kh],hvað,Uppgómmælt,Lokhljóð,Fráblásið
h,[ç],hjón,Framgómmælt,Önghljóð,Órödduð
h,[çɛ],hér,Framgómmælt,Önghljóð,Órödduð
h,[r°],hrópa,Tannbergsmælt,Sveifluhljóð,Órödduð
h,[l°],hlústa,Tannbergsmælt,Hliðarhljóð,Órödduð
h,[n°],hnútur,Tannbergsmælt,Nefhljóð,Órödduð
x,[xs],vaxa,Uppgómmælt,Önghljóð,Órödduð
n,[n],nú,Tannbergsmælt,Nefhljóð,Rödduð
n,[n°],vanta,Tannbergsmælt,Nefhljóð,Órödduð
n,[ɲ],enginn,Framgómmælt,Nefhljóð,Rödduð
n,[ɲ°],banki,Framgómmælt,Nefhljóð,Órödduð
n,[ŋ],fingur,Uppgómmælt,Nefhljóð,Rödduð
n,[ŋ°],banka,Uppgómmælt,Nefhljóð,Órödduð
m,[m],mús,Varamælt,Nefhljóð,Rödduð
m,[m°],lampi,Varamælt,Nefhljóð,Órödduð
l,[l],lás,Tannbergsmælt,Hliðarhljóð,Rödduð
l,[l°],sulta,Tannbergsmælt,Hliðarhljóð,Órödduð
r,[r],rós,Tannbergsmælt,Sveifluhljóð,Rödduð
r,[r°],orka,Tannbergsmælt,Sveifluhljóð,Órödduð
